Year,Avg_Valence,Avg_BPM,Avg_Liveness,Avg_Energy,Growth
2021.0,52.52100840336134,125.83193277310924,16.857142857142858,63.890756302521005,5.67
2020.0,51.027027027027025,118.02702702702703,19.56756756756757,66.43243243243244,-3.4
2019.0,40.416666666666664,118.36111111111111,16.444444444444443,59.583333333333336,2.29
2018.0,36.2,115.3,17.3,50.9,2.92
2017.0,43.0,119.0,14.043478260869565,60.73913043478261,2.26
2016.0,45.44444444444444,126.94444444444444,17.444444444444443,63.166666666666664,1.67
2015.0,37.36363636363637,127.36363636363636,18.272727272727273,61.81818181818182,2.71
2014.0,47.53846153846154,106.0,16.0,65.46153846153847,2.29
2013.0,53.61538461538461,120.07692307692308,17.615384615384617,63.92307692307692,1.84
2012.0,49.3,142.8,18.0,62.8,2.28
2011.0,55.9,127.9,12.5,63.1,1.55
2010.0,45.42857142857143,118.57142857142857,10.285714285714286,73.28571428571429,2.71
2009.0,,,,,-2.6
2008.0,54.0,113.0,18.0,63.5,0.12
2007.0,20.0,140.0,7.0,85.0,2.01
2006.0,,,,,2.78
2005.0,93.0,93.0,12.0,88.0,3.48
2004.0,46.75,111.75,8.5,69.0,3.85
2003.0,24.0,129.0,37.0,89.5,2.8
2002.0,41.166666666666664,136.66666666666666,19.666666666666668,69.16666666666667,1.7
2001.0,,,,,0.95
2000.0,51.0,114.75,16.25,63.75,4.08
1999.0,45.2,115.0,19.8,76.2,4.79
1998.0,49.0,156.0,9.0,72.0,4.48
1997.0,75.0,144.0,9.0,73.0,4.45
1996.0,59.0,88.0,19.0,64.0,3.77
1995.0,58.0,86.0,47.0,72.5,2.68
1994.0,33.0,150.0,7.0,63.0,4.03
1993.0,,,,,2.75
1992.0,12.0,92.0,12.0,34.0,3.52
1991.0,40.5,111.5,11.0,55.5,-0.11
1990.0,,,,,1.89
1989.0,,,,,3.67
1988.0,,,,,4.18
1987.0,67.0,125.0,10.0,90.0,3.46
1986.0,73.0,142.5,19.0,70.5,3.46
1985.0,37.0,110.0,8.5,68.0,4.17
1984.0,72.0,101.75,23.75,74.75,7.24
1983.0,73.0,117.0,7.0,45.0,4.58
1982.0,56.0,148.0,25.5,62.5,-1.8
1981.0,,,,,2.54
1980.0,,,,,-0.26
1979.0,74.0,95.0,9.0,58.0,3.17
1978.0,,,,,5.54
1977.0,,,,,4.62
1976.0,,,,,5.39
1975.0,36.5,86.5,22.5,56.5,-0.21
1974.0,,,,,-0.54
1973.0,24.0,80.0,23.0,43.0,5.65
1972.0,,,,,5.26
1971.0,39.0,147.0,77.0,61.0,3.29
1970.0,85.5,129.0,25.5,75.5,-0.28
1969.0,,,,,3.1
1968.0,76.0,116.0,13.0,70.0,4.8
1967.0,,,,,2.5
1966.0,,,,,6.5
1965.0,,,,,6.4
1964.0,,,,,5.8
1963.0,65.0,140.0,17.333333333333332,71.0,4.4
1962.0,,,,,6.1
1961.0,,,,,2.3
,,,,,
